id	text
2163	The third set for the Free Realms Trading Card Game introduces a new card player in Snowhill who is willing to do whatever it takes to get the Gloamstone!  This 40-card starter deck features cards from all three Free Realms sets and is based on the Order sphere.
2164	Begin your search for the new card player in Snowhill! Battle Tyrone Shadowshard in Blackspore Swamp and Mayor Crystalline in four games each to earn eight promo cards. Make sure you have already purchased and completed the "Shattered Past - Quest Pack 3" and attained Level 20 as a Card Duelist.
2165	Continue your search for the new card player in Snowhill! Battle Jonathon Forkpath and Scarlet Shadeveil in four games each to earn eight promo cards. Make sure you have already purchased and completed "Baron von Darkcheat - Quest Pack 1" and attained Level 20 as a Card Duelist.
2166	Complete your search for the new card player in Snowhill! Battle Senari and Baron von Darkcheat in four games each to earn eight promo cards and a special ride! Make sure you have already purchased and completed "Baron von Darkcheat Quest Packs 1 & 2" and attained Level 20 as a Card Duelist.
2201	Bert's legs are too short and it's making him fall behind in his deliveries!  Help him out by giving the mail to the right postal customers.<BR><BR>Use the Hot and Cold meter to help find your way.
2207	Someone is playing a joke on Bert.  Instead of putting the names of the person who is supposed to get the mail, someone has decided to put riddles instead.  Help Bert figure out who gets the mail by unraveling the clues.
2367	Find Mayor Crystalline
2369	Find Scarlet Shadeveil
2370	Find Senari
2575	Look for Mayor Crystalline in Snowhill.
2576	Look for Jonathon Forkpath in Snowhill.
2577	Look for Scarlet Shadeveil in Snowhill.
2578	Look for Senari in Snowhill.
2579	Look for Baron von Darkcheat in Snowhill.
2581	If you want to find The Baron the best person to talk to is <font color='#D9781A'>Mayor Crystalline</font> in <font color='#D9781A'>Snowhill</font>.<BR><BR>Nothing happens in that town that she doesn't know about.
2582	<font color='#D9781A'>Jonathon Forkpath</font> has long been a staunch defender of Snowhill. I'm sure he'll know what to do!<BR><BR>You can usually find him walking around the center of town.
2583	If anybody knows how to find that sneaky looking dwarf it's <font color='#D9781A'>Scarlet Shadeveil</font>!<BR><BR>Try looking for her near the town hall.
2584	<font color='#D9781A'>Senari</font>, the able explorer will probably know exactly where to find this sneaky dwarf.<BR><BR>She's usually hanging out on the other side of the town hall.
2588	The Mayor says what? Snowhill is melting!?
2591	Snowhill is melting? Who cares? Soon, I will be the King of all Sacred Grove!
2866	You find a locked diary with a picture of the rock star Bruce on the cover.
2884	Okay then, let's start with you Joelle. Show us what you've got!
2888	Alright, not bad, Joelle! What about you, Tarvie?
3061	Smitty
3062	Brittany
3063	Murphy
3069	Carrie
3070	Mr. Twinkle
3224	Grog
3230	Trixi
3259	Honorary member of the Penguin Trainers of Snowhill.
3282	Good to see you!  I was hoping that you could help with our mail deliveries.  Lately Bert has been running behind in delivering the mail.  Do you think you could help?
3283	Great!  You can find Bert at the post office.
3284	Hey there, did Mayor Crystalline send you?  Do you think you could help us out with our mail situation?
3285	Ok great! Bert here seems to be mighty confused. See if you can give him a hand..err. . .wing.
3310	Julie
3368	Friends with Julie
3408	Therin's Tempered Circle Shard
3411	Ernie's Tempered Circle Shard
3427	Brian
3429	Joel
3463	Speak to Loryn
3465	You found Loryn!
3467	Loryn has told you that Snowhill is having all sorts of problems with their new Penguin Mailmen. Head over to Bert and see if you can straighten things out.
3469	Find Bert
3471	You found Bert!
3475	Report to Mayor Crystalline
3493	Go see Therin
3763	Murphy's Torch
3799	Murphy's Flame Stick
3961	Snowhill
4274	Bruce's Arch-Nemesis
4300	It looks like [*player*] isn't afraid of Chiroptera Snowhillius (that's the scientific name of the bats in the caves near Snowhill).
4404	Snowhill Elite Exploration
4444	Ice trolls and yetis are fighting over the snowy canyon.  They are causing trouble for the citizens of Snowhill and need to be run out.
4446	Climb the four peaks around Snowhill.
4554	Cinn
4564	Retrieve Farmer Cinn's turnips from Snowy Canyon.
4674	Great! You can find Bert at the post office.
4676	The Mysterious Merchant has appeared in Snowhill!
4681	You are not a postman. You should go talk to Loryn to learn more about becoming one!
4694	Good to see you! I was hoping you could help with our mail deliveries. Lately Bert has been running behind in delivering the mail. <BR><BR>Do you think you could help?
4716	Bert the mailman cocks his head to one side as you approach.  He recognizes that you are going to help him, and hands you his mail satchel. He then points a flipper towards the mailbox.
4726	Senari
4738	Why, hello there!  You may not have noticed, but Snowhill Village is a truly beautiful place.  It's even more gorgeous when gazing down upon it from the surrounding mountainsides.  Don't believe me?  You should go see for yourself!  Some of my favorite vi
4742	Hello! Snowhill Village is truly a beautiful place. You should go to some of my favorite vistas and check out the view!
4755	Snowhill Exploration
4772	Snowhill Village is truly a beautiful place. You should go to some of my favorite vistas and check out the view! I placed four flags on the mountain peaks you need to visit to help you along. You should be able to see the flags from down here. From way up there, everyone in Snowhill looks like ants!
4776	Snowhill Village is truly a beautiful place. You should go to some of my favorite vistas and check out the view! Oh. Wait a minute! It looks like you have not yet learned how to be an Explorer. Do you want to learn?
4780	You should now have the Explorer job!  I hope you manage to find the same spots I did.  To help you along, I placed some flags up on the mountain peaks.<BR><BR>From way up there, everyone in Snowhill looks like ants!  Tee hee hee.
4805	Locations you've discovered in or around Snowhill Village.
4807	Snowhill Hot Springs
4809	Snowhill Town Hall
4811	Snowhill Places
4812	Places of interest in and around Snowhill Village.
4813	All collections for Snowhill Village
5006	1 Snowhill St.
5017	Special Delivery: Snowhill Village
5018	You have been recruited at the Snowhill Post Office to help deliver mail.<BR>Deliver all of the letters in the specified time to prove you are the best postal worker in the history of Snowhill Village.
5022	Deliver mail to addresses around Snowhill Village.
5023	Return to Bert to let him know the mail is delivered.
5024	Bert has clocked you out. Well done.
5025	Speak with Bert.
5035	Snowhill Postboxes
5046	Find the letters Ernie dropped
5049	Ernie's Lost Letters
5050	Deliver Ernie's Lost Letters.
5054	Postal Route: Snowhill Village
5174	Return to Bert
5185	Snowhill Lot
5269	Deliver the case of cat treats before all of the cats in Snowhill Village find you.
5448	Frostpetal
5449	Little J
5452	Snowi
5453	Flynn
5454	Lealin
5456	Sorin
5457	Buren
5580	Play the Skate shop showdown minigame with a [Goal]; report back to Mr. Twinkle for your reward
5610	You sure picked a busy time to visit us! Normally we're a peaceful town, but lately Mayor Crystalline has had her hands full with running everything. You may want to talk to her to learn more about what is going on in town.
5642	NOT LIVE - Gems for Sorin
5648	Play Stage handiwork mini game and report points to Flynn.
5650	Welcome to Snowhill. Make sure to stop by the hot springs and get warm. I would be there myself, but it is my job to greet all newcomers.
5655	Introduce yourself to the mayor of Snowhill.
5662	Before the tunnel collapsed in the Deep Mines, the miners had done a significant amount of work opening up the caves. Buren knows the left tunnel is pretty stable, but wants you to check the right tunnel.
5696	Watch your step there, the walkway is a bit slippery.<BR><BR>I'm Murphy, manager of the most famous hot springs resort in all of Sacred Grove.
5720	If you could help us out that would be great. Just go see Bert the penguin.
6156	Kiel
6209	Deliver as many advertisements for the Skate Shop Showdown as you can to mailboxes in Snowhill Village.
6291	Small Snowhill House
6292	Large Snowhill House
6297	A small house in Snowhill
6298	A large house in Snowhill
6304	Interested in fishing? I wish my brother Big J would come and fish with me, but he's obsessed with the bait shop and won't take any time off to relax. You should go see him if you need some fishing gear.
6336	Oh wow, I just got back from hiking up in the mountains around Snowhill.  I can't believe how gorgeous the views were.
6362	Deliver letters to their recipients in Snowhill. Go to the Post Boxes near Loryn to start the challenge.
6368	Deliver letters in Snowhill. Use the mailboxes with the postal icon near Loryn to start the challenge.
6372	Bert sure has a hard time sorting the mail with his flippers. He's been working at it and he's got some that's ready for delivery. Can you help him get those letters where they need to go? Get started at the mailboxes.
6375	Big J
6378	Report back to Loryn.
6379	Now that you've delivered those letters, check back with Loryn.
6383	Go to Loryn's mail boxes and defeat the Ernie's Lost Letters challenge.
6384	Return to Loryn
6385	Bring the mail back to Loryn
6389	Go to the postboxes and beat the Ernie's Lost Letters mini game.
6393	It seems that Ernie is having some trouble delivering the mail.  He comes back with dog bites and bits of torn letters. Can you help him get the job done? Use the mail boxes to start the challenge.
6402	Smitty wants to teach you how to Smelt Ore.
6406	Smitty can be found in Snowhill.
6420	Visiting Snowhill for the Birthday Bash made me realize something...
6434	Obtain Chillblaine's pelt from the Frostfang Caverns in Snowhill.
6470	That was some fast sorting!  See if Loryn could use more help.
6502	Umari
6506	Silversnow
6713	Cakenstein has risen in Snowhill!
6746	An empty lot of land in Snowhill.
6804	Find Mayor Crystalline
6805	Mayor Crystalline can be found by the clock tower in town.
6815	Defeat noisy yetis inside of the Hot Springs Haven in Snowhill.
6823	Murphy says the yetis in Hot Springs Haven are making a lot of noise, and generally making a nuisance of themselves.<BR><BR>Head into Hot Springs Haven and interrupt their unruly noisemaking by taking down some of the yetis you find there.<BR>
6827	Could you sneak into the Hot Springs Haven and turn down that radio?  You will want to defeat the yetis' boss, Umari, as well so he doesn't turn the music back up.
6851	Defeat Umari, the Yeti Chief.
6937	Snowhill Post Office
6938	Snowhill Frozen Lake
7053	Wintara
7063	Hi there, I'm Frostpetal, the town greeter for Snowhill Village.<BR><BR>I have a bunch of tips and tricks for you. Just click whatever button you want to learn about.
7201	Did Frostpetal send you? I could indeed use your help. There is yeti trouble at the hot springs, scary problems at the mines, and don't even get me started on the post office!
7379	Buren's brother, Burlen, is missing in the Deep Mines. 
7494	You can find Perry just outside of Snowhill.  She's runs a farm.
7517	Look for Loryn
7518	Loryn is near the post office.
7576	Hi there.  Did Frostpetal send you?  I really could use your help.
7591	Bertaboo
7699	Snowhill Pixie Doll
7705	Snowhill Human Doll
7716	Snowhill Queen Doll
7769	Snowhill Water Samples
7775	Snowhill wear for the Pixie doll.
7781	Snowhill wear for the Human doll.
7792	Snowhill wear for the Queen doll.
7845	Samples of water from the cold village of Snowhill.
8376	Return to Jonathon Forkpath
8381	Return to Scarlet Shadeveil
8382	Beat Senari's First Deck
8383	Beat Senari's Second Deck
8384	Beat Senari's Third Deck
8385	Beat Senari's Fourth Deck
8386	Return to Senari
8412	Jonathon Forkpath in Snowhill wants you to play a few games of cards.
8413	Scarlet Shadeveil in Snowhill wants you to play a few games of cards.
8414	Senari in Snowhill wants you to play a few games of cards. 
8415	Baron von Darkcheat in Snowhill wants you to play a few games of cards.
8922	Senari's First Round
8923	Senari's Second Round
8924	Senari's Third Round
8925	Senari's Fourth Round
8940	Battle Jonathon and his creature deck. Be the first to score 12 points to win the match and a Buren creature card from his deck.
8945	Battle Scarlet and her tournament deck. Be the first to score 12 points to win the match and a Scarlet Shadeveil hero card from her deck.
8946	Battle Senari and her trick deck. Be the first to score 12 points to win the match and a Clever Kick trick card from her deck.
8947	Battle Senari and her resource deck. Be the first to score 12 points to win the match and a Frozen Over resource card from her deck.
8948	Battle Senari and her creature deck. Be the first to score 12 points to win the match and a Unlucky Angler creature card from her deck.
8949	Battle Senari and her tournament deck. Be the first to score 12 points to win the match and a Ree Peatpants hero card from her deck.
9248	Meet on the frozen lake in Snowhill and throw some snowballs at your friends!
9394	Snowhill Birthday Cake
9538	Lakeshore is so nice. It feels good to get away from the forge for awhile. What do you have there? Some workorders from Smitty? I guess he is pretty busy. I am on vacation though...
9541	Oh no! Carrie didn't like my poem?
9542	What?! That scoundrel Sampson told you to steal my hammer? Well I am glad you didn't side with him and try to take it. This calls for a new plan...
9633	It took you long enough! Tell Smitty I expect faster delivery next time.
9635	Yes, I am Michi. You say you recovered this stolen weapon from someone's house? It isn't mine. I would never use such a shoddy weapon. This appears to have been crafted by a complete amateur.
9649	Trixi said someone would be bringing me a new axe. I guess that someone is you. Thanks. Someone stole my last weapon. Stole it right off my belt they did!
9670	My goodness, we're swamped here at the Snowhill Post Office. Perry sent you? What a sweatheart.
9683	Mayor Crystalline is swamped!<BR><BR>It's tough being the boss when you have wild yetis, collapses in the mines, and now the mess at the post office!
9685	Ernie will be so glad that he doesn't have to get chased by those dogs today. Great job!
9733	You defeated him! I bet he was a big nasty, brute. You're a hero, my friend. <BR><BR>I'm not sure I want to go home though. I like it here with Michi. 
9775	You got rid of Sampson? I can't believe it. You are truly a first class Brawler. You have helped me and the citizens of the Sacred Grove a great deal. Take this for your valiant efforts.
9792	Therin sent you to work on your smelting skills? I doubt you can keep up with me, but I am interested in seeing you try.
9802	Trixi needs to hold her horses! I need more ore to make her new tools! She will just have to wait.
9823	You are just in time. Bruce won't wait much longer. Thanks for your help. Your autographed picture of Bruce will be in the mail, unless I forget and I often do. See ya.
9863	Splendid work rescuing the captured pixies held hostage in the troll fort.  However, it's the other kidnappings that I'm worried about.<BR><BR>The kidnappers in Snowhill are no mere forest trolls.  You will need training.  You will need to become a ninja.
9881	So Sampson ended up fleeing? What a coward. Thank you for helping me with this. I fear this whole situation may not entirely be over though. Come talk to me again when you have time. For now, get some rest.
9900	Thanks. I have so many orders to fufill I rarely get a chance to visit good ol' Therin.
9903	Someone stole these weapons and hid them in their house? The scoundrel! I don't see my axe though. One of those weapons looks like a ninja weapon. I don't know who it would belong to however. The only ninja I know of in Snowhill is Michi.
10042	It's such a mess down here. We'll be inspecting the tunnels for some time before we can get back to work. If you want to help, talk to Buren back in the main mine.
10046	Snowhill Playground
10140	Rescue Burlen, the trapped miner Buren mentioned could be stuck in the deepest section of the mines.
10474	An empty lot of land in Snowhill.<br><br>Buy now and get a FREE Wood Builders Pack valued at SC 200!
10490	An empty lot of land in Snowhill.<br><br>Buy now and get a FREE Wood Builders Pack valued at SC 200!
13906	Ernie Painting
13907	Ernie was featured in the Original Card Set.<br><br>Original Premium Painting 66 / 237
14720	Frostpetal has told you that a few residents of Snowhill need your help.
14721	Return to Cinn in Snowhill
14739	Return to Buren in the Singing Crystal Mines
14820	The mayor is in charge of everything that goes on in Snowhill. It can be overwhelming!
14904	Valinda has asked you to rescue her missing penguins from the Howling Hills.
14919	Give the samples to Sorin
14945	Give the tools to Trixi at the Singing Crystal Mines
14953	Return to Valinda in Snowhill
15046	The Community Team Ambassadors are hiding presents in Snowhill. Can you find them? Tune to the Zone Chat channel for clues! SERVER 1
15052	#Cap([*player*]) rocked out like a star for Snowi.
15096	Return to Buren at the Singing Crystal Mines
15106	Deliver letters to their recipients in Snowhill by clicking on the mail boxes near Loryn.
15398	Snowhill Blacksmith
16443	NOT LIVE - Play Ernie's Lost Letters minigame
16826	Morninglory
16965	Rare Snowhill Flowers
16966	A collection of flowers that bloom in Snowhill.
16967	Rare Snowhill Tulip
16968	Rare Snowhill Orchid
16969	Rare Snowhill Carnation
16970	Rare Snowhill Rose
16971	Rare Snowhill Daisy
16972	Rare Snowhill Lily
16973	Rare Snowhill Sunflower
16974	Rare Snowhill Daffodil
17283	Lost Little Joey
17564	Snowhill Birds of Paradise
17565	Snowhill Orchid
17566	Snowhill Hibiscus
17567	Snowhill Water Lily
17568	Snowhill Calla Lily
17569	Snowhill Passion Flower
17570	Snowhill Moon Flower
17571	Snowhill Kudzu
17572	Snowhill Tulips
17573	Snowhill Roses
17574	Snowhill Daisies
17575	Snowhill Sunflowers
17576	Snowhill Daffodils
17577	Snowhill Lilies
17578	Snowhill Orchids
17579	Snowhill Carnations
17581	Exotic Snowhill Flowers
17582	These special tulips must go through a lot of lip balm in order to survive the harsh cold weather conditions of Snowhill.
17590	A collection of rare Snowhill flowers. Legend says only 1 out of every 9 flowers found is this rare.
17591	Exotic flowers found throughout Snowhill.  Their beauty is matched by their willingness to survive in the coldest conditions.  
17805	Snowhill Birthday Cake Sample
18235	Bring your mining gear and dancing shoes. We'll party till Therin kicks us out!
18240	Community Event: Snowhill Playground Party
18241	Join us at the Snowhill playground for a party... as long as you aren’t afraid of heights! SERVER 1
18569	Birthday Party in Snowhill
18577	There’s a new location every hour! Party in Snowhill. Look for the Community Team playing hide and seek nearby!
18622	Defeat the yeti boss in Snowy Canyon, north of Snowhill.
18623	Return to Milo in Snowhill
18645	Give the water to Carrie at the Snowhill Hot Springs
19193	Return to Lealin at the hot springs
19344	Screamin' Steven
19358	Lily Leadfoot
19359	Zoomer Rex
19361	Layla Octane
19362	Mai Redline
19363	Jet Swiftpass
19364	Connor Rush
19365	Tucker Thunderjolt
19366	Willow Slamdash
19367	Mikko Ragerunner
19368	Jet Madedge
19370	Nina the Wrecker
19371	Carly Collision
19613	Return to Wintara with any news about Rocko.
19962	Snowhill Birthday T-Shirt
20528	Umari's tribe now owns these cavern springs!
20718	Give the pelt to Lealin at the Snowhill Hot Springs
20830	Snowhill Warpstone
21092	[*pet*] is howling at Bruce's music!
21098	Michi
21177	The new leader of the Ice Trolls has stirred them up into a frenzy. Defeat him and return to Patterwings in Snowhill.
21186	Sunflower wants you to deliver a letter to his brother, Cinn in Snowhill. With all the trouble going on in the bixie fields, Sunflower wants to let Cinn know that he is okay.
21190	Deliver a letter to Cinn in Snowhill.
21193	Hello. Could you please deliver this letter to my brother, Cinn in Snowhill? He must be worried sick about me with all the trouble that is going on with the bixies. This letter will let him know that I am ok.
21194	NOT LIVE - Cinn's Request
21195	Cinn wants you to deliver a letter to Greenthumb at the Pixie Nursery. The letter contains details on some new farming methods that Greenthumb may find interesting.
21196	Cinn's Request
21212	Thank goodness you are here. I am starting to cast a film I am directing and I was hoping to hire some top notch actors. Could you please deliver this letter to Snowi, the Talent Scout in Snowhill?
21214	Deliver a letter to Snowi, the Talent Scout in Snowhill.
21215	Deliver a letter to Snowi in Snowhill.
21218	Barton is starting production on his new film and needs some actors. Deliver a letter to Snowi, the Talent Scout in Snowhill.
21225	NOT LIVE - Carrie's Request
21226	Carrie wrote a fan letter to her favorite singer, Glitter and wants you to deliver it to her in Sanctuary.
21229	Been to Snowhill lately? Too cold for me, that's why I came to Sanctuary. I miss my friend, Smitty though. Can you deliver this letter to him please?
21231	Steelbloom misses his friend, Smitty in Snowhill and wants you to deliver a letter to him.
21232	Deliver a letter to Smitty in Snowhill.
21235	NOT LIVE - Therin's Request
21236	Therin wants you to deliver a letter to Rocken in Sanctuary. It appears to be important, so don't open the letter and look at it!
21849	Annabelle
21850	That crazy husband of mine! Ever since that ninja Michi came to town, he thinks he is a ninja too! I was cooking dinner when he threw a smokebomb at my feet and disappeared. I am tired of his antics. He's not a ninja, he's a simple carpenter.
21851	He even changed his name from Chuck to Nenjai. Can you please go find him before his dinner gets cold? I hate eating dinner by myself. He should be somewhere in Snowhill.
21854	Annabelle's husband thinks he is a ninja. He has now hidden somewhere in Snowhill and his dinner is getting cold. Find him within the time limit!
21859	Wow, a real ninja! That's what it takes to catch me. I am very stealthy you know. Annabelle wants me to come home for dinner? Darn. Ok. I just hope we aren't having carrot stew again. I hate carrots!
21862	Annabelle thinks he must be up in the hills near Snowhill.
21966	NOT LIVE - Postal Carrier Foot Race
22215	Return to Michi.
22376	Someone has been sneaking important letters out the back of the Snowhill Post Office.
22435	Drill Sergeant Dewey
22436	Brody Sparfist
22443	Bertie
22446	Drill Sergeant Dewey has some work for you now that you have become a warrior. Go talk to him. Dewey is behing the barracks in Sanctuary.
22451	Talk to Drill Sergeant Dewey.
22452	Drill Sergeant Dewey can be found at the barracks in Sanctuary.
22460	Now that you're a warrior, you must start your training. Talk to Drill Sergeant Dewey. He can be found behind these barracks.
22468	Drill Sergeant Dewey wants to hear your best battle cry. Show him what you've got!
22483	Show Drill Sergeant Dewey your battle cry
22525	Drill Sergeant Dewey in Snowhill wants to hear your best battle cry. Show him what you've got!
22560	Drill Sergeant Dewey wants to test your fitness. Touch all six of the target dummies within the time limit!
22579	Morninglory wants you to learn more about using your weapon. Find Steele at the Snowhill warrior barracks to continue your training.
22582	Report to Steele
22747	Morninglory would like for you to meet some other warriors and see if they have any tasks for you. Visit Gorg in Briarwood, Bertie near Sanctuary, and Brody Sparfist in Snowhill.
22752	Visit Bertie at the west-most bixie field near Sanctuary and talk to him.
22754	Visit Brody Sparfist near the mines in Snowhill and talk to him. 
22771	There have been some complaints in Snowhill regarding bats flying out of the mines. Brody Sparfist would like for you to clear out some of these bats from the Bat Caves.
22777	There have been some complaints about bats flying out of the mines at night and terrorizing the citizens of Snowhill. Think you could go into the Bat Cave and clear out some of the bats?
22783	Bertie has informed you of the attack on her hive and needs you to rush to General Glowlight so he can send reinforcements to help.
22789	Oh my! Bertie's hive is under attack you say? This is horrible. I will muster up some help as fast as I can. Thank you for letting me know.
22804	Sampson Idlefist
22808	Jeni Shortfuse
22828	Sampson Stonefist might not look like much, but he claims to pack quite a punch, which is why so many gullible people were willing to pay for his shoddy protection!  There have been a lot of clients who haven't paid their dues, and Sampson would like you to go collect his earnings.
22847	Return to Sampson Stonefist and talk to him.
22854	Sampson wants his money? I hired him to keep an eye on my bait, but he fell asleep and some Thugawugs stole it all! I don't even have his money. Some Thugawugs stole it the other day.
22855	My crates of wool kept getting stolen, so I hired Sampson to help protect them. When the Thugawugs came to steal more wool, Sampson ran away! He is a worthless bodyguard. Even if I wanted to pay him, some Thugawugs robbed me last night, so I am completely broke.
22856	I hired Sampson because some of my tour guides have been going missing. He never even showed up and now he demands payment? Well you can tell him I don't have any money. Some chugawug bandits stole every coin I had!
22861	Sampson wants you to head into the Bandit Hideout southwest of Sanctuary and collect some coin purses from the bandits there. He'd go do it himself, but he has more important things to do - it's not that he's scared... really.
22930	Brawlers use a large supply of stones in battle, so they cannot afford to be too picky when it comes to collecting stones. Jeni Shortfuse has asked you to collect ten stones from the surrounding area and return them to her.
22932	Talk to Jeni Shortfuse.
22933	Jeni Shortfuse can be found near Sanctuary at the Queensfields.
22934	Collect 10 stones for Jeni Shortfuse.
22936	Return to Jeni Shortfuse and speak with her.
22968	Valleyview Point can be found on the mountain peaks surrounding Snowhill.
22969	Wuthering Heights can be found on the mountain peaks surrounding Snowhill.
22970	Widowmaker Point can be found on the mountain peaks surrounding Snowhill.
22972	Ivory Crest can be found on the mountain peaks surrounding Snowhill.
23172	The Bat Caves have proven to be a problematic mining spot. While attempting to extract ore, some dwarven miners were attacked by bats. The miners ran away and left their tools behind. Three terrified miners haven't reported in to Buren and are trapped in the cave. Go to the Bat Caves and rescue them!
23174	The Bat Caves have proven to be a problematic mining spot. While attempting to extract ore, some dwarven miners were attacked by bats. The miners ran away and left their tools behind. Three of the miners haven't reported in to Buren and must be trapped in the cave. Go to the Bat Caves and rescue them!
23177	I have been informed by Buren, that some of the miners that were fleeing from the bats in the Bat Caves have not returned. Can you go and rescue them? I just hope we are not too late.
23184	Click on all the target dummies in order to complete the race! To start, click on the flag next to Drill Sergeant Dewey.
23218	Therin in the Singing Crystal Mines wants you to use the mining practice tools to his left. Return to him if you can complete the minigame.
23220	Find a copper node near Therin and mine one copper ore! Be sure to read the tutorial after you click on the node!
23221	Return one copper ore to Therin.
23305	Snowhill Ice Cream: Vanilla
23306	Snowhill Ice Cream: Chocolate
23343	Return the ore to Therin.
23359	Singing Crystal Mines is likely one of the busiest mines around. The miners' tools get dull with so much work being done and dull tools means production slows down. Trixi placed an order with Smitty the Blacksmith earlier in the week, but needs the tools
23360	Where are those tools? I wish Smitty would hurry up! Therin is breathing down my neck because the miners need new tools and production is slowing down. Think you could go ask Smitty in Snowhill if he can rush that order of new tools?
23362	Talk to Smitty
23363	See if Smitty can rush Trixi's order. He can be found in Snowhill.
23507	Even though the people Sampson was paid to protect say he never did the job, the boasting Brawler still thinks he's the toughest fighter out there. Beat the Bandit Champion, Muggenstomp in the Bandit Hideout to prove that you're tougher than Sampson.
23512	Smitty has been a bit backed up with his orders. He has too many items to craft, and not enough ore. He'd be willing to rush Trixi's order if you can help him collect some more ore.
23515	If I had more copper ore, I could perhaps rush Trixi's order, but I don't have any time to go and mine it. If you could mine the ore, then I could finish her order within the day.
23525	Singing Crystal Mines isn't the only place overflowing with ore. Therin frequently deploys miners to scout out locations that might be rich with metal. Explore the area, southwest, near the Pixie Nursery and survey the land for a good spot to mine tin, and make sure to mark the area on your map. Return to Therin when you are done.
23539	Therin sent you to meet me? That was nice of him. I am Pinkelug and it is nice to meet you. Stop by again and chat with me sometime!
23571	Travel to the most south western region of Sacred Grove and find a good spot to mine iron, mark it on your map, and then return to Therin with a sample of at least ten iron ore.
23608	Sorin has heard reports of brilliant sparkling coming off of the iron clusters southeast of the Robgoblin Camp. It could be something special, or just a pile of glittering junk. Likely the latter, but he wants you check it out just in case. Scour the wilderness surrounding the Robgoblin Camp and return with an onyx sample.
23615	Sorin is disappointed to find out that the onyx gems are fairly common. Although their quality is good, they're not rare enough to fetch a good price. Luckily, Ruby the jeweler is in need of onyx. Mine 15 onyx and then take the gems to Ruby in Sanctuary.
23643	Snowi has been extra busy in Snowhill trying to find the next rising star before her sister, Sandi in Seaside does. It takes more than just a great voice to be a rockstar - you have to flaunt your wealth too. The best way for them to do that is to have a rediculous amount of gold chains dangling off their neck.
23663	Sorin is interested in anything that sparkles and shines. He is eager to study all the rare rocks that can be found in the world. When you've collected a malachite, garnet, amethyst, ruby, and fire agate, return them to Sorin.
23680	Hot Spring Caverns - Umari Ice Nova
